2026-07-08 06:38:44 startup archives unpack
2026-07-08 06:38:44 install readline-common:all <none> 8.2-1.3
2026-07-08 06:38:44 status half-installed readline-common:all 8.2-1.3
2026-07-08 06:38:44 status unpacked readline-common:all 8.2-1.3
2026-07-08 06:38:44 install libssl3:amd64 <none> 3.0.20-1~deb12u2
2026-07-08 06:38:44 status triggers-pending libc-bin:amd64 2.36-9+deb12u13
2026-07-08 06:38:44 status half-installed libssl3:amd64 3.0.20-1~deb12u2
2026-07-08 06:38:44 status unpacked libssl3:amd64 3.0.20-1~deb12u2
2026-07-08 06:38:44 install openssl:amd64 <none> 3.0.20-1~deb12u2
2026-07-08 06:38:44 status half-installed openssl:amd64 3.0.20-1~deb12u2
2026-07-08 06:38:44 status unpacked openssl:amd64 3.0.20-1~deb12u2
2026-07-08 06:38:44 install ca-certificates:all <none> 20230311+deb12u1
2026-07-08 06:38:44 status half-installed ca-certificates:all 20230311+deb12u1
2026-07-08 06:38:44 status unpacked ca-certificates:all 20230311+deb12u1
2026-07-08 06:38:44 install libpsl5:amd64 <none> 0.21.2-1
2026-07-08 06:38:44 status half-installed libpsl5:amd64 0.21.2-1
2026-07-08 06:38:44 status unpacked libpsl5:amd64 0.21.2-1
2026-07-08 06:38:45 install wget:amd64 <none> 1.21.3-1+deb12u1
2026-07-08 06:38:45 status half-installed wget:amd64 1.21.3-1+deb12u1
2026-07-08 06:38:45 status unpacked wget:amd64 1.21.3-1+deb12u1
2026-07-08 06:38:45 install apt-transport-https:all <none> 2.6.1
2026-07-08 06:38:45 status half-installed apt-transport-https:all 2.6.1
2026-07-08 06:38:45 status unpacked apt-transport-https:all 2.6.1
2026-07-08 06:38:45 install libassuan0:amd64 <none> 2.5.5-5
2026-07-08 06:38:45 status half-installed libassuan0:amd64 2.5.5-5
2026-07-08 06:38:45 status unpacked libassuan0:amd64 2.5.5-5
2026-07-08 06:38:45 install libreadline8:amd64 <none> 8.2-1.3
2026-07-08 06:38:45 status half-installed libreadline8:amd64 8.2-1.3
2026-07-08 06:38:45 status unpacked libreadline8:amd64 8.2-1.3
2026-07-08 06:38:45 install gpgconf:amd64 <none> 2.2.40-1.1+deb12u2
2026-07-08 06:38:45 status half-installed gpgconf:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:45 status unpacked gpgconf:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:45 install libksba8:amd64 <none> 1.6.3-2
2026-07-08 06:38:45 status half-installed libksba8:amd64 1.6.3-2
2026-07-08 06:38:45 status unpacked libksba8:amd64 1.6.3-2
